[2026-02-16 03:46:07] [WARNING ] discord.ext.commands.bot: Privileged message content intent is missing, commands may not work as expected.
[2026-02-16 03:46:07] [INFO    ] discord.client: logging in using static token
[2026-02-16 03:46:09] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'GUILD_CREATE', 's': 2, 'op': 0, 'd': {'owner_configured_content_level': 0, 'lazy': True, 'max_stage_video_channel_users': 50, 'rules_channel_id': None, 'profile': None, 'voice_states': [], 'application_command_counts': {}, 'channels': [{'version': 1739746276804, 'type': 4, 'position': 0, 'permission_overwrites': [], 'name': 'Text Channels', 'id': '1340817808732459151', 'flags': 0}, {'version': 1747183980254, 'type': 4, 'position': 1, 'permission_overwrites': [], 'name': 'Voice Channels', 'id': '1340817808732459152', 'flags': 0}, {'version': 1741500295582, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 0, 'permission_overwrites': [], 'parent_id': '1340817808732459151', 'name': 'general', 'last_pin_timestamp': '2025-03-09T06:04:55+00:00', 'last_message_id': '1472905988708368426', 'id': '1340817808732459153', 'icon_emoji': {'name': '👋', 'id': None}, 'flags': 0}, {'version': 1747183973717, 'user_limit': 0, 'type': 2, 'rtc_region': None, 'rate_limit_per_user': 0, 'position': 2, 'permission_overwrites': [], 'parent_id': '1340817808732459152', 'name': 'General', 'last_message_id': '1340867161459134464', 'id': '1340817808732459154', 'icon_emoji': {'name': '🎙️', 'id': None}, 'flags': 0, 'bitrate': 64000}, {'version': 1741499577460, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 1, 'permission_overwrites': [{'type': 0, 'id': '1340818196265041945', 'deny': '2048', 'allow': '0'}], 'parent_id': '1340817808732459151', 'name': 'im-so-sleepy', 'last_message_id': '1395352806415925290', 'id': '1340851168989024347', 'flags': 0}, {'version': 1739830347154, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 2, 'permission_overwrites': [], 'parent_id': '1340817808732459151', 'name': 'music-channel', 'last_message_id': '1374580074673868822', 'id': '1341170385701572730', 'flags': 0}, {'version': 1747183973699, 'user_limit': 0, 'type': 2, 'rtc_region': None, 'rate_limit_per_user': 0, 'position': 0, 'permission_overwrites': [], 'parent_id': '1340817808732459152', 'name': 'Study-music', 'last_message_id': None, 'id': '1341170606304923698', 'flags': 0, 'bitrate': 64000}, {'version': 1741558617126, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 3, 'permission_overwrites': [], 'parent_id': '1340817808732459151', 'name': 'study-work-stuff-no-troll🙏😡', 'last_message_id': '1406037362567286974', 'id': '1348419265124110477', 'flags': 0}, {'version': 1747183973709, 'user_limit': 0, 'type': 2, 'rtc_region': None, 'rate_limit_per_user': 0, 'position': 1, 'permission_overwrites': [], 'parent_id': '1340817808732459152', 'name': 'trolling', 'last_message_id': None, 'id': '1350339904374313012', 'flags': 0, 'bitrate': 64000}, {'version': 1769400643372, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 4, 'permission_overwrites': [], 'parent_id': '1340817808732459151', 'name': 'dont_post_ban', 'last_message_id': '1472893140242268180', 'id': '1465197237092225197', 'flags': 0}], 'mfa_level': 0, 'id': '1340817807922696318', 'name': 'Engg five musjateers', 'members': [{'user': {'username': 'Post_Ban-ner', 'public_flags': 0, 'primary_guild': None, 'id': '1465193852649472022', 'global_name': None, 'display_name_styles': None, 'display_name': None, 'discriminator': '0195', 'collectibles': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': 'c9d87cf1fcb6081bfd9de68c0588b5dc'}, 'roles': ['1465206883559280784'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2026-01-26T04:49:03.352000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}], 'banner': None, 'threads': [], 'moderator_reporting': None, 'afk_timeout': 300, 'embedded_activities': [], 'stage_instances': [], 'activity_instances': [], 'verification_level': 0, 'explicit_content_filter': 0, 'description': None, 'default_message_notifications': 0, 'features': ['TIERLESS_BOOSTING_SYSTEM_MESSAGE', 'SOUNDBOARD'], 'unavailable': False, 'system_channel_flags': 0, 'emojis': [], 'roles': [{'version': 1739746276786, 'unicode_emoji': None, 'tags': {}, 'position': 0, 'permissions': '2248473465835073', 'name': '@everyone', 'mentionable': False, 'managed': False, 'id': '1340817807922696318', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 0}, 'color': 0}, {'version': 1739754005987, 'unicode_emoji': None, 'tags': {'bot_id': '239631525350604801'}, 'position': 2, 'permissions': '288418846', 'name': 'Pancake', 'mentionable': False, 'managed': True, 'id': '1340818196265041945', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 0}, 'color': 0}, {'version': 1739754006179, 'unicode_emoji': None, 'tags': {}, 'position': 1, 'permissions': '8', 'name': 'Cool peeps', 'mentionable': False, 'managed': False, 'id': '1340850162284761169', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 3066993}, 'color': 3066993}, {'version': 1771151147402, 'unicode_emoji': None, 'tags': {'bot_id': '1465193852649472022'}, 'position': 3, 'permissions': '8', 'name': 'Post_Ban-ner', 'mentionable': False, 'managed': True, 'id': '1465206883559280784', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 0}, 'color': 0}], 'guild_scheduled_events': [], 'latest_onboarding_question_id': None, 'premium_tier': 0, 'stickers': [], 'max_video_channel_users': 25, 'premium_features': None, 'icon': None, 'incidents_data': None, 'premium_progress_bar_enabled': False, 'region': 'deprecated', 'owner_id': '399420739985604609', 'joined_at': '2026-01-26T04:49:03.352000+00:00', 'system_channel_id': '1340817808732459153', 'member_count': 7, 'presences': [], 'soundboard_sounds': [], 'preferred_locale': 'en-US', 'discovery_splash': None, 'large': False, 'afk_channel_id': None, 'splash': None, 'application_id': None, 'premium_subscription_count': 0, 'premium_progress_bar_enabled_user_updated_at': None, 'vanity_url_code': None, 'safety_alerts_channel_id': None, 'nsfw_level': 0, 'public_updates_channel_id': None, 'max_members': 25000000, 'hub_type': None, 'version': 1750316015918, 'home_header': None, 'nsfw': False, 'inventory_settings': None}}
[2026-02-16 03:46:09] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2026-02-16 03:46:09] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'GUILD_MEMBERS_CHUNK', 's': 3, 'op': 0, 'd': {'nonce': '56cb0cb7fbad8a6daf13fd4f6aa15d81', 'members': [{'user': {'username': 'Pancake', 'public_flags': 65536, 'primary_guild': None, 'id': '239631525350604801', 'global_name': None, 'display_name_styles': None, 'display_name': None, 'discriminator': '3691', 'collectibles': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': 'ddee536315d017ee1bb01d9f0b31628e'}, 'roles': ['1340818196265041945'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-02-16T22:52:49.247000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, {'user': {'username': 'jbcatan', 'public_flags': 128, 'primary_guild': None, 'id': '392388581747982347', 'global_name': 'Natac', 'display_name_styles': None, 'display_name': 'Natac', 'discriminator': '0', 'collectibles': None, 'bot': False, 'avatar_decoration_data': {'sku_id': '1226939756617793606', 'expires_at': 1777013999, 'asset': 'a_89cd445201a0c6c64d46876503d0e90e'}, 'avatar': '2dad65aeb563e90bb573fe0ebf04a844'}, 'roles': ['1340850162284761169'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-02-20T03:23:33.766000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, {'user': {'username': 'the_beep', 'public_flags': 0, 'primary_guild': None, 'id': '399420739985604609', 'global_name': 'The_Beep', 'display_name_styles': None, 'display_name': 'The_Beep', 'discriminator': '0', 'collectibles': None, 'bot': False, 'avatar_decoration_data': None, 'avatar': 'f3abf620384d7b297be5766d3177d47d'}, 'roles': ['1340850162284761169'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-02-16T22:51:16.718000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, {'user': {'username': '3pencils', 'public_flags': 128, 'primary_guild': {'tag': 'FR24', 'identity_guild_id': '863085217726857276', 'identity_enabled': True, 'badge': '1c8f8efb11de25463d853de6f864ffc6'}, 'id': '630612820685488130', 'global_name': 'green_pointed_eraser', 'display_name_styles': None, 'display_name': 'green_pointed_eraser', 'discriminator': '0', 'collectibles': None, 'bot': False, 'avatar_decoration_data': None, 'avatar': '085bf80a26c6020b35402b926d19d528'}, 'roles': ['1340850162284761169'], 'premium_since': None, 'pending': False, 'nick': 'Val is better than school', 'mute': False, 'joined_at': '2025-02-17T00:58:32.674000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, {'user': {'username': 'ltskey', 'public_flags': 0, 'primary_guild': {'tag': None, 'identity_guild_id': None, 'identity_enabled': False, 'badge': None}, 'id': '697488566346973324', 'global_name': 'ltsKey', 'display_name_styles': None, 'display_name': 'ltsKey', 'discriminator': '0', 'collectibles': {'nameplate': {'sku_id': '1447654090661302343', 'palette': 'crimson', 'label': 'COLLECTIBLES_ZODIAC_ARIES_NP_A11Y', 'expires_at': None, 'asset': 'nameplates/zodiac/aries/'}}, 'bot': False, 'avatar_decoration_data': {'sku_id': '1447654090640330763', 'expires_at': None, 'asset': 'a_6ce16e08392fd882eef1b568f3c4d3d3'}, 'avatar': '45b9959f48c76f3c9a78ecdc9505ba2d'}, 'roles': [], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-02-20T03:30:03.619000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, {'user': {'username': '.chocolate.milk.', 'public_flags': 0, 'primary_guild': {'tag': None, 'identity_guild_id': None, 'identity_enabled': False, 'badge': None}, 'id': '871353544480030751', 'global_name': 'Cookie Monster', 'display_name_styles': None, 'display_name': 'Cookie Monster', 'discriminator': '0', 'collectibles': None, 'bot': False, 'avatar_decoration_data': None, 'avatar': '7a8308c53acff21b9f4d10938dfa09e1'}, 'roles': [], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2026-02-16T09:51:36.997362+00:00', 'flags': 1, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, {'user': {'username': 'Post_Ban-ner', 'public_flags': 0, 'primary_guild': None, 'id': '1465193852649472022', 'global_name': None, 'display_name_styles': None, 'display_name': None, 'discriminator': '0195', 'collectibles': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': 'c9d87cf1fcb6081bfd9de68c0588b5dc'}, 'roles': ['1465206883559280784'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2026-01-26T04:49:03.352000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}], 'guild_id': '1340817807922696318', 'chunk_index': 0, 'chunk_count': 1}}
[2026-02-16 03:46:09] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2026-02-16 03:46:09] [DEBUG   ] discord.state: Processed a chunk for 7 members in guild ID 1340817807922696318.
[2026-02-16 03:46:11] [DEBUG   ] discord.client: Dispatching event guild_available
[2026-02-16 03:46:11] [DEBUG   ] discord.client: Dispatching event ready
[2026-02-16 03:46:15] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'TYPING_START', 's': 4, 'op': 0, 'd': {'user_id': '871353544480030751', 'timestamp': 1771238775, 'member': {'user': {'username': '.chocolate.milk.', 'public_flags': 0, 'primary_guild': {'tag': None, 'identity_guild_id': None, 'identity_enabled': False, 'badge': None}, 'id': '871353544480030751', 'global_name': 'Cookie Monster', 'display_name_styles': None, 'display_name': 'Cookie Monster', 'discriminator': '0', 'collectibles': None, 'bot': False, 'avatar_decoration_data': None, 'avatar': '7a8308c53acff21b9f4d10938dfa09e1'}, 'roles': [], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2026-02-16T09:51:36.997362+00:00', 'flags': 1, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'channel_id': '1340817808732459153', 'guild_id': '1340817807922696318'}}
[2026-02-16 03:46:15] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2026-02-16 03:46:15] [DEBUG   ] discord.client: Dispatching event typing
[2026-02-16 03:46:15] [DEBUG   ] discord.client: Dispatching event raw_typing
[2026-02-16 03:46:19] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'MESSAGE_CREATE', 's': 5, 'op': 0, 'd': {'type': 0, 'tts': False, 'timestamp': '2026-02-16T10:46:19.408000+00:00', 'pinned': False, 'nonce': '1472906937216532480', 'mentions': [], 'mention_roles': [], 'mention_everyone': False, 'member': {'roles': [], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2026-02-16T09:51:36.997362+00:00', 'flags': 1, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'id': '1472906938424627211', 'flags': 0, 'embeds': [], 'edited_timestamp': None, 'content': '', 'components': [], 'channel_type': 0, 'channel_id': '1340817808732459153', 'author': {'username': '.chocolate.milk.', 'public_flags': 0, 'primary_guild': {'tag': None, 'identity_guild_id': None, 'identity_enabled': False, 'badge': None}, 'id': '871353544480030751', 'global_name': 'Cookie Monster', 'display_name_styles': None, 'discriminator': '0', 'collectibles': None, 'clan': {'tag': None, 'identity_guild_id': None, 'identity_enabled': False, 'badge': None}, 'avatar_decoration_data': None, 'avatar': '7a8308c53acff21b9f4d10938dfa09e1'}, 'attachments': [], 'guild_id': '1340817807922696318'}}
[2026-02-16 03:46:19] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2026-02-16 03:46:19] [DEBUG   ] discord.client: Dispatching event message
[2026-02-16 03:46:50] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 5.
[2026-02-16 03:46:50] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
